Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,97049.66,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,86527.05,2020-08-27T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,863972.48,2020-07-12T01:01:01
Banco NuBank,9457,11932-1,Banco NuBank,3790,85835,37912.98,2020-10-21T01:01:01
Banco do Brasil,8529,43269-1,Banco Santander,3993,61529,46006.34,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,63417.0,2020-07-12T01:01:01
Banco Itaú,8617,15472-1,Banco Santander,3473,88978,6714.6,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,551159.27,2020-07-22T01:01:01
Banco NuBank,4027,53849-1,Banco NuBank,7810,38294,30562.68,2020-07-12T01:01:01
Banco NuBank,4966,05916-1,Banco Santander,1465,07925-1,34364.79,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,879978.24,2020-07-12T01:01:01
Banco NuBank,7785,22793-1,Banco NuBank,5248,38378,53309.44,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,38794.4,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,13271.69,2020-07-12T01:01:01
Banco Itaú,2187,61660-1,Banco Bradesco,8965,59127,37969.95,2020-07-12T01:01:01
Banco Santander,8056,21390-1,Banco Santander,0752,66720,63457.91,2020-07-12T01:01:01
Banco do Brasil,3162,33798-1,Banco Itaú,2033,97613,44060.03,2020-12-04T01:01:01
Banco NuBank,4671,19065-1,Banco NuBank,8727,97766,41223.61,2020-11-06T01:01:01
Banco NuBank,0217,74549-1,Banco NuBank,7684,63517,91520.32,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,506708.07,2020-07-12T01:01:01
Banco NuBank,8564,02813-1,Banco NuBank,7956,47454,53670.14,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,40481.3,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,61845.85,2020-07-12T01:01:01
Banco NuBank,5750,27576-1,Banco NuBank,0759,15085,16364.17,2020-06-11T01:01:01
Banco NuBank,7563,54093-1,Banco NuBank,9649,41390,44423.67,2020-07-27T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,428089.72,2020-07-12T01:01:01
Banco NuBank,7588,45598-1,Banco NuBank,7062,82497,41043.08,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,716275.25,2020-06-12T01:01:01
Banco Itaú,6775,93649-1,Banco NuBank,0873,34191,77982.75,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,822683.26,2020-01-16T01:01:01
Banco NuBank,7459,93221-1,Banco NuBank,5517,34425,16503.26,2020-04-20T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,36348.67,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,974053.43,2020-01-03T01:01:01
Banco Santander,6242,41837-1,Banco Bradesco,4913,29608,66928.08,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,28633.12,2020-04-11T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,48737.38,2020-07-12T01:01:01
Banco do Brasil,0988,85880-1,Banco Santander,6059,64060,7482.68,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,45213.99,2020-07-12T01:01:01
Banco NuBank,8024,93042-1,Banco NuBank,9134,66020,14134.48,2020-07-12T01:01:01
Banco Bradesco,5017,69504-1,Banco Itaú,3388,14472,55753.04,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,78295.25,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,38052.0,2020-01-10T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,822713.81,2020-12-02T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,720952.53,2020-02-09T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,48554.9,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,47349.92,2020-07-12T01:01:01
Banco Santander,3131,38577-1,Banco Santander,1588,19271,58652.16,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,69109.02,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,98428.06,2020-07-12T01:01:01
Banco NuBank,6413,72034-1,Banco NuBank,9790,02697-1,77166.52,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,937545.13,2020-07-12T01:01:01
Banco NuBank,8201,60739-1,Banco NuBank,0176,47484,69451.81,2020-07-12T01:01:01
Banco NuBank,6214,67698-1,Banco NuBank,5455,28545,57126.66,2020-08-01T01:01:01
Banco NuBank,3023,84754-1,Banco NuBank,2821,22959,18335.64,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,23398.52,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,905080.1,2020-09-22T01:01:01
Banco NuBank,5121,05471-1,Banco NuBank,8266,92775,12937.71,2020-07-12T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,38566.88,2020-09-10T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,59189.01,2020-06-14T01:01:01
Banco NuBank,5869,46288-1,Banco NuBank,3769,05968-1,1837.39,2020-05-03T01:01:01
Banco NuBank,9117,51912-1,Banco NuBank,7843,67906,77694.3,2020-08-20T01:01:01
Banco do Brasil,6597,72367-1,Banco NuBank,1390,14500,31816.59,2020-07-12T01:01:01
